#,State,Population,Increase,Area(Km2),Density,Sex-Ratio,Literacy,Male,Female,% Change,No_HH,Males,Female,Child(0-6),Slums,Slum HH,Slum Pop,SC,ST,Literacy
15,Punjab,"27,743,338",13.89%,"50,362",551,895,75.84,79.55,82.75,76.11,"749,457","1,641,738","1,632,531",15.47%,1.19%,"216,496","1,237,682","260,442","16,630",68.15%
16,Chhattisgarh,"25,545,198",22.61%,"135,192",189,991,70.28,78.82,87.4,70.01,"725,582","1,477,808","1,561,765",9.43%,5.28%,"103,633","662,062","11,136","10,797",68.02%
17,Haryana,"25,351,462",19.90%,"44,212",573,879,75.55,78.03,85.75,69.68,"527,307","1,488,800","1,323,509",12.79%,4.84%,"93,911","487,741","91,953","2,321",76.88%
18,Delhi,"16,787,941",21.21%,"1,483","11,320",868,86.21,76.94,83.58,70.26,"468,568","1,145,314","1,086,007",13.29%,1.13%,"72,544","372,999","58,164","66,680",75.51%
19,Jammu and Kashmir,"12,541,302",23.64%,"222,236",56,889,67.16,76.26,81.69,70.54,"363,305","968,586","923,930",15.20%,0.60%,"45,417","202,048","21,923",411,93.11%
20,Uttarakhand,"10,086,292",18.81%,"53,483",189,963,78.82,76.24,85.17,64.32,"358,212","876,300","852,952",12.54%,0.63%,"42,533","197,266","42,358","3,702",81.57%
21,Himachal Pradesh,"6,864,602",12.94%,"55,673",123,972,82.8,75.84,80.44,70.73,"183,020","486,232","438,759",13.70%,11.58%,"34,839","144,573","34,521",0,81.39%
22,Tripura,"3,673,917",14.84%,"10,486",350,960,87.22,75.55,84.06,65.94,"154,112","334,370","320,548",11.77%,3.80%,"34,143","139,780","40,291","3,337",90.71%
23,Meghalaya,"2,966,889",27.95%,"22,429",132,989,74.43,75.36,82.47,68.08,"45,409","95,512","100,813",11.71%,9.01%,"21,704","95,135","29,230",0,66.38%
24,Manipur,"2,855,794",24.50%,"22,327",128,985,76.94,74.43,75.95,72.89,"40,694","106,356","92,730",13.32%,4.16%,"17,152","82,324",0,"64,253",88.85%
25,Nagaland,"1,978,502",-0.58%,"16,579",119,931,79.55,72.87,81.59,64.01,"20,349","48,863","48,465",12.92%,7.16%,"15,987","78,561",69,"73,552",98.11%
26,Goa,"1,458,545",8.23%,"3,702",394,973,88.7,72.19,77.85,66.27,"5,930","14,454","13,821",12.44%,0.89%,"14,385","61,312","16,062",488,87.74%
27,Arunachal Pradesh,"1,383,727",26.03%,"83,743",17,938,65.38,70.28,80.27,60.24,"5,545","12,627","12,822",10.44%,1.94%,"10,518","57,418","1,589","40,752",89.02%
28,Puducherry,"1,247,953",28.08%,490,"2,547",1037,85.85,69.32,78.73,59.24,"3,533","9,157","8,198",13.66%,5.14%,"7,203","31,378","1,658","8,745",88.13%
29,Mizoram,"1,097,206",23.48%,"21,081",52,976,91.33,67.68,77.28,57.18,"1,353","3,339","2,847",12.42%,1.80%,"5,497","26,247",651,112,82.44%
30,Chandigarh,"1,055,450",17.19%,114,"9,258",818,86.05,67.16,76.75,56.43,"1,288","3,151","2,973",9.98%,1.12%,"3,479","15,562",0,"4,631",69.39%
31,Sikkim,"610,577",12.89%,"7,096",86,890,81.42,67.02,74.88,59.15,274,807,411,9.93%,3.72%,"3,324","14,172",0,48,82.80%
32,Andaman and Nicobar Islands,"380,581",6.86%,"8,249",46,876,86.63,66.41,76.84,55.42,-,-,-,-,,,,,,
33,Dadra and Nagar Haveli,"343,709",55.88%,491,700,774,76.24,66.11,79.19,52.12,-,-,-,-,,,,,,
34,Daman and Diu,"243,247",53.76%,111,"2,191",618,87.1,65.38,72.55,57.7,-,-,-,-,,,,,,
35,Lakshadweep,"64,473",6.30%,30,"2,149",946,91.85,61.8,71.2,51.5,-,-,-,-,,,,,,
